ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;good_or_not
192;168;0;102;50328;52;113;37;37;3480;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3480;192;168;0;102;50328;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
192;168;0;102;50412;52;113;37;37;3481;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50412;1
192;168;0;102;50595;52;113;37;37;3481;1
192;168;0;102;56823;188;122;64;29;50006;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
192;168;0;102;50328;52;113;37;37;3480;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3480;192;168;0;102;50328;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
192;168;0;102;50328;52;113;37;37;3480;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
192;168;0;102;50328;52;113;37;37;3480;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3480;192;168;0;102;50328;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50412;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
192;168;0;102;50174;52;113;37;37;3479;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3479;192;168;0;102;50174;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3481;192;168;0;102;50595;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
192;168;0;102;50412;52;113;37;37;3481;1
188;122;64;29;50006;192;168;0;102;56823;1
52;113;37;37;3479;192;168;0;102;50174;1
188;122;64;29;50006;192;168;0;102;56823;1
