ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;
192;168;0;102;49260;188;122;66;119;50001;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;49260;188;122;66;119;50001;
192;168;0;102;49260;188;122;66;119;50001;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;49260;188;122;66;119;50001;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;49260;188;122;66;119;50001;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;49260;188;122;66;119;50001;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;49260;188;122;66;119;50001;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;50265;162;159;137;234;443;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
162;159;137;234;443;192;168;0;102;50265;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
162;159;137;234;443;192;168;0;102;50265;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;50265;162;159;137;234;443;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;53806;199;232;138;214;443;
192;168;0;102;53806;199;232;138;214;443;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
199;232;138;214;443;192;168;0;102;53806;
199;232;138;214;443;192;168;0;102;53806;
199;232;138;214;443;192;168;0;102;53806;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;53806;199;232;138;214;443;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;55542;192;168;39;148;7680;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
199;232;138;214;443;192;168;0;102;53806;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;53806;199;232;138;214;443;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
199;232;138;214;443;192;168;0;102;53806;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
199;232;138;214;443;192;168;0;102;53806;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
192;168;0;102;53806;199;232;138;214;443;
162;159;134;234;443;192;168;0;102;53446;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
199;232;138;214;443;192;168;0;102;53806;
188;122;66;119;50001;192;168;0;102;49260;
188;122;66;119;50001;192;168;0;102;49260;
